model_id,task,model_type,status,elapsed_s,failure_class,accuracy_verdict,delta_relative
cross-encoder/ms-marco-MiniLM-L6-v2,text-classification,bert,PASS,25.0,,N/A,
ProsusAI/finbert,text-classification,bert,PASS,21.9,,N/A,
cardiffnlp/twitter-roberta-base-sentiment-latest,text-classification,roberta,PASS,57.8,,N/A,
distilbert/distilbert-base-uncased-finetuned-sst-2-english,text-classification,distilbert,PASS,26.0,,N/A,
BAAI/bge-reranker-v2-m3,text-classification,xlm-roberta,FAIL,185.9,EXPORT_FAIL,N/A,
facebook/bart-large-mnli,text-classification,bart,FAIL,53.1,EXPORT_FAIL,N/A,
microsoft/deberta-xlarge-mnli,text-classification,deberta,FAIL,278.0,EXPORT_FAIL,N/A,
BAAI/bge-reranker-base,text-classification,xlm-roberta,PASS,27.4,,N/A,
cross-encoder/ms-marco-MiniLM-L4-v2,text-classification,bert,PASS,24.9,,N/A,
mixedbread-ai/mxbai-rerank-xsmall-v1,text-classification,deberta-v2,PASS,25.8,,N/A,
w11wo/indonesian-roberta-base-posp-tagger,token-classification,roberta,PASS,22.0,,N/A,
dslim/bert-base-NER,token-classification,bert,PASS,22.2,,N/A,
StanfordAIMI/stanford-deidentifier-base,token-classification,bert,PASS,23.5,,N/A,
dbmdz/bert-large-cased-finetuned-conll03-english,token-classification,bert,PASS,63.2,,N/A,
oliverguhr/fullstop-punctuation-multilang-large,token-classification,xlm-roberta,FAIL,187.6,EXPORT_FAIL,N/A,
Isotonic/distilbert_finetuned_ai4privacy_v2,token-classification,distilbert,PASS,28.0,,N/A,
kredor/punctuate-all,token-classification,xlm-roberta,PASS,70.0,,N/A,
obi/deid_roberta_i2b2,token-classification,roberta,PASS,25.7,,N/A,
Babelscape/wikineural-multilingual-ner,token-classification,bert,PASS,26.9,,N/A,
Jean-Baptiste/camembert-ner-with-dates,token-classification,camembert,PASS,25.2,,N/A,
ahotrod/electra_large_discriminator_squad2_512,question-answering,electra,PASS,29.4,,N/A,
deepset/roberta-base-squad2,question-answering,roberta,PASS,54.5,,N/A,
google-bert/bert-large-uncased-whole-word-masking-finetuned-squad,question-answering,bert,PASS,21.8,,N/A,
timpal0l/mdeberta-v3-base-squad2,question-answering,deberta-v2,PASS,79.8,,N/A,
distilbert/distilbert-base-cased-distilled-squad,question-answering,distilbert,PASS,26.0,,N/A,
deepset/bert-large-uncased-whole-word-masking-squad2,question-answering,bert,PASS,27.1,,N/A,
monologg/koelectra-small-v2-distilled-korquad-384,question-answering,electra,PASS,25.7,,N/A,
tau/splinter-base,question-answering,splinter,PASS,21.8,,N/A,
deepset/tinyroberta-squad2,question-answering,roberta,PASS,21.1,,N/A,
distilbert/distilbert-base-uncased-distilled-squad,question-answering,distilbert,PASS,30.4,,N/A,
google-bert/bert-base-uncased,fill-mask,bert,PASS,22.6,,N/A,
sentence-transformers/all-mpnet-base-v2,fill-mask,mpnet,PASS,22.1,,N/A,
FacebookAI/xlm-roberta-base,fill-mask,xlm-roberta,PASS,26.5,,N/A,
FacebookAI/roberta-large,fill-mask,roberta,PASS,57.1,,N/A,
FacebookAI/roberta-base,fill-mask,roberta,PASS,25.0,,N/A,
distilbert/distilbert-base-uncased,fill-mask,distilbert,PASS,57.9,,N/A,
FacebookAI/xlm-roberta-large,fill-mask,xlm-roberta,FAIL,233.1,EXPORT_FAIL,N/A,
sentence-transformers/multi-qa-mpnet-base-dot-v1,fill-mask,mpnet,PASS,60.0,,N/A,
google-bert/bert-base-multilingual-uncased,fill-mask,bert,PASS,59.8,,N/A,
google-bert/bert-base-multilingual-cased,fill-mask,bert,PASS,26.3,,N/A,
Qwen/Qwen2.5-7B-Instruct,text-generation,qwen2,FAIL,1291.5,EXPORT_FAIL,N/A,
Qwen/Qwen3-0.6B,text-generation,qwen3,FAIL,198.0,EXPORT_FAIL,N/A,
openai-community/gpt2,text-generation,gpt2,FAIL,219.4,EXPORT_FAIL,N/A,
Qwen/Qwen2.5-1.5B-Instruct,text-generation,qwen2,FAIL,512.5,EXPORT_FAIL,N/A,
Qwen/Qwen2.5-0.5B-Instruct,text-generation,qwen2,FAIL,191.2,EXPORT_FAIL,N/A,
openai/gpt-oss-20b,text-generation,gpt_oss,FAIL,301.0,UNKNOWN,N/A,
Qwen/Qwen2.5-3B-Instruct,text-generation,qwen2,FAIL,825.0,EXPORT_FAIL,N/A,
trl-internal-testing/tiny-Qwen2ForCausalLM-2.5,text-generation,qwen2,FAIL,213.5,EXPORT_FAIL,N/A,
Qwen/Qwen3-1.7B,text-generation,qwen3,FAIL,414.6,EXPORT_FAIL,N/A,
Qwen/Qwen3-8B,text-generation,qwen3,FAIL,0,TIMEOUT,N/A,
sentence-transformers/all-MiniLM-L6-v2,feature-extraction,bert,PASS,26.8,,N/A,
sentence-transformers/all-mpnet-base-v2,feature-extraction,mpnet,PASS,80.6,,N/A,
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,feature-extraction,bert,PASS,27.5,,N/A,
BAAI/bge-m3,feature-extraction,xlm-roberta,FAIL,158.7,EXPORT_FAIL,N/A,
Xenova/paraphrase-multilingual-MiniLM-L12-v2,feature-extraction,bert,FAIL,17.3,UNKNOWN,N/A,
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,feature-extraction,xlm-roberta,PASS,27.6,,N/A,
BAAI/bge-small-en-v1.5,feature-extraction,bert,PASS,25.3,,N/A,
BAAI/bge-large-en-v1.5,feature-extraction,bert,PASS,23.1,,N/A,
BAAI/bge-base-en-v1.5,feature-extraction,bert,PASS,16.8,,N/A,
sentence-transformers/multi-qa-mpnet-base-dot-v1,feature-extraction,mpnet,PASS,18.8,,N/A,
facebook/bart-large-cnn,summarization,bart,FAIL,90.5,EXPORT_FAIL,N/A,
google-t5/t5-base,summarization,t5,FAIL,0,TIMEOUT,N/A,
google-t5/t5-small,summarization,t5,FAIL,25.3,EXPORT_FAIL,N/A,
sshleifer/distilbart-cnn-12-6,summarization,bart,FAIL,69.0,EXPORT_FAIL,N/A,
google-t5/t5-3b,summarization,t5,FAIL,273.7,EXPORT_FAIL,N/A,
google-t5/t5-large,summarization,t5,FAIL,90.9,EXPORT_FAIL,N/A,
google/pegasus-xsum,summarization,pegasus,FAIL,115.2,EXPORT_FAIL,N/A,
philschmid/bart-large-cnn-samsum,summarization,bart,FAIL,0,TIMEOUT,N/A,
moussaKam/mbarthez,summarization,mbart,FAIL,0,TIMEOUT,N/A,
knkarthick/MEETING_SUMMARY,summarization,bart,FAIL,0,TIMEOUT,N/A,
google-t5/t5-base,translation,t5,FAIL,36.0,EXPORT_FAIL,N/A,
google-t5/t5-small,translation,t5,FAIL,0,TIMEOUT,N/A,
Helsinki-NLP/opus-mt-nl-en,translation,marian,FAIL,37.3,EXPORT_FAIL,N/A,
Helsinki-NLP/opus-mt-en-ru,translation,marian,FAIL,0,TIMEOUT,N/A,
facebook/nllb-200-distilled-600M,translation,m2m_100,FAIL,0,TIMEOUT,N/A,
google-t5/t5-3b,translation,t5,FAIL,0,TIMEOUT,N/A,
Helsinki-NLP/opus-mt-fr-en,translation,marian,FAIL,0,TIMEOUT,N/A,
Helsinki-NLP/opus-mt-tr-en,translation,marian,FAIL,30.4,EXPORT_FAIL,N/A,
Helsinki-NLP/opus-mt-es-en,translation,marian,FAIL,32.1,EXPORT_FAIL,N/A,
google/madlad400-3b-mt,translation,t5,FAIL,265.4,EXPORT_FAIL,N/A,
facebook/bart-large-mnli,zero-shot-classification,bart,FAIL,0,TIMEOUT,N/A,
lxyuan/distilbert-base-multilingual-cased-sentiments-student,zero-shot-classification,distilbert,PASS,21.4,,N/A,
MoritzLaurer/deberta-v3-large-zeroshot-v2.0,zero-shot-classification,deberta-v2,PASS,33.6,,N/A,
MoritzLaurer/DeBERTa-v3-large-mnli-fever-anli-ling-wanli,zero-shot-classification,deberta-v2,PASS,90.3,,N/A,
valhalla/distilbart-mnli-12-3,zero-shot-classification,bart,FAIL,78.2,EXPORT_FAIL,N/A,
MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,zero-shot-classification,deberta-v2,PASS,32.5,,N/A,
joeddav/xlm-roberta-large-xnli,zero-shot-classification,xlm-roberta,FAIL,211.3,EXPORT_FAIL,N/A,
joeddav/bart-large-mnli-yahoo-answers,zero-shot-classification,bart,FAIL,74.3,EXPORT_FAIL,N/A,
MoritzLaurer/mDeBERTa-v3-base-xnli-multilingual-nli-2mil7,zero-shot-classification,deberta-v2,PASS,24.3,,N/A,
cross-encoder/nli-deberta-v3-small,zero-shot-classification,deberta-v2,PASS,22.5,,N/A,
sentence-transformers/all-MiniLM-L6-v2,sentence-similarity,bert,PASS,78.8,,N/A,
sentence-transformers/all-mpnet-base-v2,sentence-similarity,mpnet,PASS,17.7,,N/A,
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,sentence-similarity,bert,PASS,18.1,,N/A,
BAAI/bge-m3,sentence-similarity,xlm-roberta,FAIL,159.9,EXPORT_FAIL,N/A,
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,sentence-similarity,xlm-roberta,PASS,65.8,,N/A,
BAAI/bge-small-en-v1.5,sentence-similarity,bert,PASS,22.0,,N/A,
BAAI/bge-large-en-v1.5,sentence-similarity,bert,PASS,20.3,,N/A,
BAAI/bge-base-en-v1.5,sentence-similarity,bert,PASS,17.4,,N/A,
sentence-transformers/multi-qa-mpnet-base-dot-v1,sentence-similarity,mpnet,PASS,17.9,,N/A,
intfloat/multilingual-e5-large,sentence-similarity,xlm-roberta,FAIL,180.5,EXPORT_FAIL,N/A,
Falconsai/nsfw_image_detection,image-classification,vit,PASS,22.0,,N/A,
dima806/fairface_age_image_detection,image-classification,vit,PASS,21.2,,N/A,
google/vit-base-patch16-224,image-classification,vit,PASS,17.5,,N/A,
apple/mobilevit-small,image-classification,mobilevit,PASS,24.5,,N/A,
rizvandwiki/gender-classification,image-classification,vit,PASS,17.7,,N/A,
microsoft/beit-base-patch16-224-pt22k-ft22k,image-classification,beit,PASS,18.2,,N/A,
amunchet/rorshark-vit-base,image-classification,vit,PASS,21.1,,N/A,
microsoft/swin-large-patch4-window7-224,image-classification,swin,FAIL,1291.8,EXPORT_FAIL,N/A,
buildborderless/CommunityForensics-DeepfakeDet-ViT,image-classification,vit,FAIL,103.8,EXPORT_FAIL,N/A,
AdamCodd/vit-base-nsfw-detector,image-classification,vit,PASS,20.1,,N/A,
microsoft/table-transformer-detection,object-detection,table-transformer,PASS,69.8,,N/A,
microsoft/table-transformer-structure-recognition,object-detection,table-transformer,PASS,20.8,,N/A,
PekingU/rtdetr_r101vd_coco_o365,object-detection,rt_detr,PASS,23.3,,N/A,
hustvl/yolos-small,object-detection,yolos,PASS,21.0,,N/A,
facebook/detr-resnet-50,object-detection,detr,PASS,69.5,,N/A,
valentinafeve/yolos-fashionpedia,object-detection,yolos,PASS,21.0,,N/A,
microsoft/table-transformer-structure-recognition-v1.1-all,object-detection,table-transformer,PASS,20.3,,N/A,
TahaDouaji/detr-doc-table-detection,object-detection,detr,PASS,70.5,,N/A,
PekingU/rtdetr_v2_r18vd,object-detection,rt_detr_v2,PASS,21.6,,N/A,
PekingU/rtdetr_r50vd_coco_o365,object-detection,rt_detr,PASS,22.7,,N/A,
jonathandinu/face-parsing,image-segmentation,segformer,PASS,21.7,,N/A,
nvidia/segformer-b0-finetuned-ade-512-512,image-segmentation,segformer,PASS,20.1,,N/A,
Xenova/segformer-b0-finetuned-ade-512-512,image-segmentation,segformer,FAIL,20.9,UNKNOWN,N/A,
mattmdjaga/segformer_b2_clothes,image-segmentation,segformer,PASS,21.0,,N/A,
fashn-ai/fashn-human-parser,image-segmentation,segformer,PASS,68.5,,N/A,
nvidia/segformer-b5-finetuned-ade-640-640,image-segmentation,segformer,PASS,69.7,,N/A,
nvidia/segformer-b1-finetuned-ade-512-512,image-segmentation,segformer,PASS,20.3,,N/A,
nvidia/segformer-b5-finetuned-cityscapes-1024-1024,image-segmentation,segformer,PASS,33.0,,N/A,
nvidia/segformer-b2-finetuned-ade-512-512,image-segmentation,segformer,PASS,67.0,,N/A,
nvidia/segformer-b0-finetuned-cityscapes-1024-1024,image-segmentation,segformer,PASS,79.7,,N/A,
facebook/dinov2-small,image-feature-extraction,dinov2,PASS,20.3,,N/A,
facebook/dinov2-base,image-feature-extraction,dinov2,PASS,19.8,,N/A,
google/vit-base-patch16-224-in21k,image-feature-extraction,vit,PASS,18.8,,N/A,
facebook/dinov2-large,image-feature-extraction,dinov2,PASS,21.2,,N/A,
facebook/dino-vitb16,image-feature-extraction,vit,PASS,19.4,,N/A,
facebook/dinov2-giant,image-feature-extraction,dinov2,FAIL,478.5,EXPORT_FAIL,N/A,
facebook/dino-vits16,image-feature-extraction,vit,PASS,20.1,,N/A,
StanfordAIMI/dinov2-base-xray-224,image-feature-extraction,dinov2,PASS,20.2,,N/A,
hi-wesley/gemma3-vision-encoder,image-feature-extraction,siglip_vision_model,FAIL,172.9,EXPORT_FAIL,N/A,
microsoft/rad-dino,image-feature-extraction,dinov2,PASS,21.0,,N/A,
openai/clip-vit-base-patch32,zero-shot-image-classification,clip,PASS,20.0,,N/A,
openai/clip-vit-large-patch14,zero-shot-image-classification,clip,PASS,25.0,,N/A,
openai/clip-vit-large-patch14-336,zero-shot-image-classification,clip,PASS,22.8,,N/A,
openai/clip-vit-base-patch16,zero-shot-image-classification,clip,PASS,19.8,,N/A,
laion/CLIP-ViT-B-32-laion2B-s34B-b79K,zero-shot-image-classification,clip,PASS,19.7,,N/A,
patrickjohncyh/fashion-clip,zero-shot-image-classification,clip,PASS,19.6,,N/A,
google/siglip-so400m-patch14-384,zero-shot-image-classification,siglip,FAIL,368.9,EXPORT_FAIL,N/A,
google/siglip-base-patch16-224,zero-shot-image-classification,siglip,PASS,20.2,,N/A,
Marqo/marqo-fashionSigLIP,zero-shot-image-classification,siglip,PASS,19.8,,N/A,
laion/CLIP-ViT-H-14-laion2B-s32B-b79K,zero-shot-image-classification,clip,FAIL,419.1,EXPORT_FAIL,N/A,
Intel/dpt-hybrid-midas,depth-estimation,dpt,PASS,21.3,,N/A,
Intel/dpt-large,depth-estimation,dpt,PASS,22.4,,N/A,
Intel/zoedepth-nyu-kitti,depth-estimation,zoedepth,PASS,74.2,,N/A,
depth-anything/Depth-Anything-V2-Small-hf,depth-estimation,depth_anything,PASS,20.6,,N/A,
LiheYoung/depth-anything-large-hf,depth-estimation,depth_anything,PASS,24.9,,N/A,
depth-anything/Depth-Anything-V2-Base-hf,depth-estimation,depth_anything,PASS,23.1,,N/A,
depth-anything/Depth-Anything-V2-Large-hf,depth-estimation,depth_anything,PASS,26.0,,N/A,
LiheYoung/depth-anything-small-hf,depth-estimation,depth_anything,PASS,22.0,,N/A,
LiheYoung/depth-anything-base-hf,depth-estimation,depth_anything,FAIL,0,TIMEOUT,N/A,
apple/DepthPro-hf,depth-estimation,depth_pro,FAIL,61.7,EXPORT_FAIL,N/A,
microsoft/trocr-large-printed,image-to-text,vision-encoder-decoder,FAIL,230.1,EXPORT_FAIL,N/A,
naver-clova-ix/donut-base,image-to-text,vision-encoder-decoder,FAIL,601.8,TIMEOUT,N/A,
microsoft/trocr-base-printed,image-to-text,vision-encoder-decoder,PASS,61.5,,N/A,
nlpconnect/vit-gpt2-image-captioning,image-to-text,vision-encoder-decoder,PASS,18.6,,N/A,
microsoft/trocr-base-handwritten,image-to-text,vision-encoder-decoder,PASS,60.6,,N/A,
kha-white/manga-ocr-base,image-to-text,vision-encoder-decoder,PASS,18.4,,N/A,
microsoft/trocr-large-handwritten,image-to-text,vision-encoder-decoder,FAIL,285.3,EXPORT_FAIL,N/A,
facebook/nougat-base,image-to-text,vision-encoder-decoder,FAIL,601.2,TIMEOUT,N/A,
breezedeus/pix2text-mfr,image-to-text,vision-encoder-decoder,FAIL,19.7,UNKNOWN,N/A,
alibaba-damo/mgp-str-base,image-to-text,mgp-str,FAIL,15.4,UNKNOWN,N/A,
google/deplot,visual-question-answering,pix2struct,FAIL,16.1,UNKNOWN,N/A,
google/pix2struct-docvqa-base,visual-question-answering,pix2struct,FAIL,15.3,UNKNOWN,N/A,
internlm/internlm-xcomposer2d5-7b,visual-question-answering,internlm2,FAIL,17.5,UNKNOWN,N/A,
google/pix2struct-ai2d-base,visual-question-answering,pix2struct,FAIL,15.8,UNKNOWN,N/A,
Salesforce/blip-vqa-base,visual-question-answering,blip,FAIL,16.0,UNKNOWN,N/A,
Salesforce/blip2-opt-2.7b,visual-question-answering,blip-2,FAIL,318.4,EXPORT_FAIL,N/A,
microsoft/Phi-4-multimodal-instruct,visual-question-answering,phi4mm,FAIL,15.8,UNKNOWN,N/A,
Salesforce/blip2-opt-2.7b-coco,visual-question-answering,blip-2,FAIL,338.4,EXPORT_FAIL,N/A,
Salesforce/blip2-flan-t5-xl,visual-question-answering,blip-2,FAIL,391.4,EXPORT_FAIL,N/A,
dandelin/vilt-b32-finetuned-vqa,visual-question-answering,vilt,FAIL,52.1,EXPORT_FAIL,N/A,
naver-clova-ix/donut-base-finetuned-docvqa,document-question-answering,vision-encoder-decoder,FAIL,15.6,UNKNOWN,N/A,
impira/layoutlm-document-qa,document-question-answering,layoutlm,FAIL,15.9,UNKNOWN,N/A,
impira/layoutlm-invoices,document-question-answering,layoutlm,FAIL,15.7,UNKNOWN,N/A,
fxmarty/tiny-doc-qa-vision-encoder-decoder,document-question-answering,vision-encoder-decoder,FAIL,16.3,UNKNOWN,N/A,
zpm/Llama-3.1-PersianQA,document-question-answering,llama,FAIL,15.9,UNKNOWN,N/A,
rubentito/layoutlmv3-base-mpdocvqa,document-question-answering,layoutlmv3,FAIL,15.8,UNKNOWN,N/A,
jinhybr/OCR-DocVQA-Donut,document-question-answering,vision-encoder-decoder,FAIL,15.9,UNKNOWN,N/A,
Xenova/donut-base-finetuned-docvqa,document-question-answering,vision-encoder-decoder,FAIL,16.2,UNKNOWN,N/A,
xhyi/layoutlmv3_docvqa_t11c5000,document-question-answering,layoutlmv3,FAIL,15.9,UNKNOWN,N/A,
pardeepSF/layoutlm-vqa,document-question-answering,bert,FAIL,17.9,UNKNOWN,N/A,
facebook/sam-vit-huge,mask-generation,sam,PASS,18.2,,N/A,
facebook/sam-vit-base,mask-generation,sam,PASS,14.4,,N/A,
facebook/sam-vit-large,mask-generation,sam,PASS,18.3,,N/A,
Xenova/slimsam-77-uniform,mask-generation,sam,FAIL,20.3,UNKNOWN,N/A,
Zigeng/SlimSAM-uniform-77,mask-generation,sam,PASS,31.2,,N/A,
flaviagiammarino/medsam-vit-base,mask-generation,sam,PASS,19.0,,N/A,
wanglab/medsam-vit-base,mask-generation,sam,PASS,17.6,,N/A,
facebook/sam2.1-hiera-large,mask-generation,sam2_video,FAIL,40.3,EXPORT_FAIL,N/A,
facebook/sam2.1-hiera-tiny,mask-generation,sam2_video,FAIL,24.4,EXPORT_FAIL,N/A,
facebook/sam2-hiera-large,mask-generation,sam2_video,FAIL,39.6,EXPORT_FAIL,N/A,
microsoft/resnet-50,image-classification,resnet,PASS,50.5,,N/A,
google-bert/bert-base-multilingual-cased,feature-extraction,bert,PASS,13.6,,N/A,
google-bert/bert-base-multilingual-cased,masked-lm,bert,PASS,15.4,,N/A,
Intel/bert-base-uncased-mrpc,feature-extraction,bert,PASS,13.6,,N/A,
Intel/bert-base-uncased-mrpc,text-classification,bert,PASS,17.3,,N/A,
openai/clip-vit-base-patch16,zero-shot-classification,clip,FAIL,16.6,UNKNOWN,N/A,
openai/clip-vit-base-patch16,feature-extraction,clip,PASS,19.4,,N/A,
openai/clip-vit-base-patch32,zero-shot-classification,clip,FAIL,15.9,UNKNOWN,N/A,
openai/clip-vit-base-patch32,feature-extraction,clip,PASS,13.8,,N/A,
laion/CLIP-ViT-B-32-laion2B-s34B-b79K,zero-shot-classification,clip,FAIL,16.2,UNKNOWN,N/A,
laion/CLIP-ViT-B-32-laion2B-s34B-b79K,feature-extraction,clip,PASS,21.4,,N/A,
facebook/convnext-tiny-224,image-classification,convnext,PASS,13.5,,N/A,
facebook/detr-resnet-50,feature-extraction,detr,PASS,60.3,,N/A,
facebook/sam2.1-hiera-small,mask-generation,sam2_video,FAIL,25.0,EXPORT_FAIL,N/A,
Salesforce/blip-image-captioning-base,image-to-text,blip,PASS,19.0,,N/A,
ai-forever/Real-ESRGAN,,unknown,FAIL,16.0,UNKNOWN,N/A,
